name,address,phone,description,home_bakery,brick_and_mortar,shipping,price1_name,price1,price2_name,price2,price3_name,price3
Manny Randazzo King Cakes,"3515 N Hullen St, Metairie, Louisiana, 70002",504-456-1476,"King-cake-only specialist in Metairie widely considered among the best traditional king cakes in the state; long lines and overnight shipping.",FALSE,TRUE,TRUE,,,,,,
Dong Phuong Bakery,"14207 Chef Menteur Hwy, New Orleans, Louisiana, 70129",504-254-0214,"2018 James Beard America's Classics-winning Vietnamese bakery in New Orleans East; brioche king cakes with cream cheese icing (making king cakes since 2008) that sell out fast and ship via Goldbelly.",FALSE,TRUE,TRUE,,,,,,
Joe Gambino's Bakery,"4821 Veterans Memorial Blvd, Metairie, Louisiana, 70006",504-885-7500,"Historic New Orleans-area bakery since 1949 known for Doberge and traditional king cakes; ships nationwide with locations in Baton Rouge and Lafayette.",FALSE,TRUE,TRUE,,,,,,
Haydel's Bakery,"4037 Jefferson Hwy, New Orleans, Louisiana, 70121",504-837-0190,"Family bakery baking since 1959 and a Carnival institution; Danish-dough king cakes with fondant icing shipped nationwide via Goldbelly.",FALSE,TRUE,TRUE,Traditional,55,Cream  Cheese,59,Praline Pecan,59
Caluda's King Cake,"3016 Hessmer Ave, Metairie, Louisiana, 70002",504-456-4894,"Harahan-based king cake specialist run by father-son team John and Josh Caluda; ships nationwide year-round from a 10000 sq ft bakery.",FALSE,TRUE,TRUE,,,,,,
Antoine's Famous Cakes and Pastries,"1300 Stumpf Blvd, Gretna, Louisiana, 70053",504-368-6222,"Westbank bakery known for its signature five-filling Queen Cake plus traditional and caramel king cakes; sells king and queen cakes year-round and ships.",FALSE,TRUE,TRUE,,,,,,
Bywater Bakery,"3624 Dauphine St, New Orleans, Louisiana, 70117",504-336-3336,"Beloved Bywater neighborhood cafe and bakery offering a wide variety of king cakes and its signature Chantilly cake; local pickup.",FALSE,TRUE,FALSE,,,,,,
Ayu Bakehouse,"801 Frenchmen St, New Orleans, Louisiana, 70117",,"Frenchmen Street bakery co-owned by Kelly Jacques and Samantha Weiss; its flaky Croissant City Classic won the 2024 NOLA.com Times-Picayune readers' king cake bracket.",FALSE,TRUE,FALSE,,,,,,
La Boulangerie,"4600 Magazine St, New Orleans, Louisiana, 70115",504-269-3777,"Link Restaurant Group French bakery on Magazine Street offering seasonal king cakes from pastry chef Maggie Scales; local pickup.",FALSE,TRUE,FALSE,,,,,,
Cochon Butcher,"930 Tchoupitoulas St, New Orleans, Louisiana, 70130",504-588-7675,"Warehouse District butcher and sandwich shop offering creative seasonal king cakes including mini and the Elvis; ships meats via Goldbelly.",FALSE,TRUE,FALSE,,,,,, 
Gracious Bakery,"4930 Prytania St, New Orleans, Louisiana, 70115",504-300-8135,"Uptown craft bakery offering French galette-des-rois-style king cakes; fresh cakes pickup only with a bake-at-home kit shipped nationwide.",FALSE,TRUE,TRUE,,,,,,
Sucre,"3025 Magazine St, New Orleans, Louisiana, 70115",504-520-8311,"Upscale Magazine Street dessert boutique selling braided brioche king cakes filled with cream cheese; ships nationwide via its site and Goldbelly.",FALSE,TRUE,TRUE,,,,,,
Loretta's Authentic Pralines,"2101 N Rampart St, New Orleans, Louisiana, 70116",504-944-7068,"French Quarter/Marigny praline shop whose praline-filled king cakes are consistently rated among the city's best.",FALSE,TRUE,FALSE,,,,,,
Adrian's Bakery,"4710 Paris Ave, New Orleans, Louisiana, 70122",504-282-2283,"Gentilly/Filmore neighborhood bakery since 2001 known for donuts and a half-dozen styles of king cake; ships king cakes year-round.",FALSE,TRUE,TRUE,,,,,,
King Cake Hub,"3300 Gravier St, New Orleans, Louisiana, 70119",,"Seasonal Mid-City pop-up gathering 100-plus king cake varieties from a dozen area bakeries in one location; open Jan 6 through Lundi Gras.",FALSE,TRUE,FALSE,Small,20,,,,
Maurice French Pastries,"3501 Hessmer Ave, Metairie, Louisiana, 70002",504-885-1526,"Metairie French pastry shop making cinnamon-braided king cakes and a French galette version; ships nationwide via Goldbelly.",FALSE,TRUE,TRUE,,,,,,
La Louisiane Bakery,"5616 Heebe St, Elmwood, Louisiana, 70123",504-734-9188,"Elmwood-area bakery near Harahan making traditional and filled king cakes; traditional ships nationwide while filled cakes are pickup only.",FALSE,TRUE,TRUE,,,,,,
Nonna Randazzo's Bakery,"2033 N Hwy 190 Ste 5, Covington, Louisiana, 70433",985-893-1488,"Popular North Shore Randazzo-family bakery offering traditional and filled king cakes; ships worldwide with Chalmette and Mandeville locations.",FALSE,TRUE,TRUE,,,,,,
Randazzo's Camellia City Bakery,"3501 Pontchartrain Dr, Slidell, Louisiana, 70458",985-781-2253,"Slidell Randazzo-family bakery est. 1965 making from-scratch braided king cakes; ships nationally and internationally, seasonal.",FALSE,TRUE,TRUE,,,,,,
Marguerite's Cakes,"125 Commercial Square, Slidell, Louisiana, 70461",985-641-5802,"Slidell bakery offering king cakes for in-store pickup with a two-day notice; no online orders or shipping.",FALSE,TRUE,FALSE,,,,,,
Sugar Love Bakery,"1329 Englewood Dr, Slidell, Louisiana, 70461",985-265-4146,"Slidell local favorite whose king cakes come in classic cinnamon, cream cheese, praline and strawberry; known for King Cake on a Stick.",FALSE,TRUE,FALSE,,,,,,
